Snapshot Date,Snapshot Month,Symbol,Sector,Industry,Archetype,Economic Sensitivity,Investor Role,Mkt Cap Cr,52W Low,CMP,52W High,Buy 20% Less,Day Chg%,1W Return %,1M Return %,Trend,Technical Setup,RSI,Vol Spike,Beta,EPS,PE,Book Value,P/B,Div Yield%,Fair Val,Rev Growth%,ROE%,ROA%,Debt/Equity,News Summary & Digest,Sentiment & Score,News Source,Strengths,Weaknesses,Quality Score,Valuation Score,Timing Score,Total Score,Buying Zone,Buy/Sell Price Range,Final Action
2026-08-31,2026-08,TATACONSUM,Consumer Defensive,Packaged Foods,CONSUMER_STAPLES,Low,Defensive,"₹1,03,630 Cr",1007.2,1037.5,1282.7,-19.12%,-0.31,-2.35,-4.21,Strong Downtrend,🟡 Consolidating,35.3,1.3,0.59,16.54,63.31,220.17,4.76,0.96,₹579,15.21,,,12.16,"42 articles, dominant topic: earnings. Here's What We Like About Tata Consumer Products' (NSE:TATACONSUM) Upcoming Dividend - simplywall.st (bullish signals: profit rises)",Neutral,"simplywall.st, TradingView, ICICI Direct",✓ Strong REV GROWTH 15.2% | ✓ Oversold RSI (35.3) — good entry,✗ Below 200-day MA — long-term trend broken,8,10,10,28,❌ WAIT,> ₹637,WATCH
2026-08-31,2026-08,KOTAKBANK,Financial Services,Banks - Regional,FINANCIAL_BANK,Medium,Financial,"₹3,99,498 Cr",345.5,419.4,453.2,-7.46%,-1.01,4.47,7.46,Uptrend,🟡 Consolidating,73.6,1.57,1.03,20.46,19.63,182.2,2.2,0.16,₹273,-0.26,,,,"51 articles, dominant topic: corporate_actions. Here's Why Kotak Mahindra Bank (NSE:KOTAKBANK) Has Caught The Eye Of Investors - simplywall.st (bullish signals: profit rises, record high)",Bullish (2/10),"simplywall.st, TradingView, Univest",✓ Bullish news signal (2/10) — positive momentum,✗ Poor REV GROWTH -0.3% | ✗ High RSI (73.6),0,10,11,21,❌ WAIT,> ₹301,WATCH
2026-08-31,2026-08,DEEPAKNTR,Basic Materials,Chemicals,QUALITY_GROWTH,Medium,Long-term Growth,"₹23,882 Cr",1280,1749.4,1904.4,-8.14%,-0.77,1.1,5.25,Strong Uptrend,🟡 Consolidating,44.2,0.42,0.95,56.93,30.76,427.94,4.09,0.43,"₹1,423",-4.08,,,27.9,"16 articles, dominant topic: general. DEEPAKNTR Forecast — Price Target — Prediction for 2027 - TradingView (mostly general-related coverage, no strong signal)",Neutral,"TradingView, simplywall.st, Univest",,✗ Poor REV GROWTH -4.1% | ✗ High debt (27.9x),0,17,15,32,❌ WAIT,"> ₹1,566",WATCH
2026-08-31,2026-08,BAJFINANCE,Financial Services,Credit Services,FINANCIAL_NBFC,Medium-High,Financial/Growth,"₹6,76,462 Cr",787.9,1057,1176.4,-10.15%,-2.12,-1.86,-7.38,Uptrend,🟡 Consolidating,32.4,1.28,1.52,32.53,33.43,183.34,5.93,0.5,₹275,19.73,,,314.83,"39 articles, dominant topic: earnings. Here's Why We Think Bajaj Finance (NSE:BAJFINANCE) Is Well Worth Watching - simplywall.st (mostly earnings-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, vinanet.vn",✓ Strong REV GROWTH 19.7% | ✓ Oversold RSI (32.4) — good entry,✗ Expensive P/B (5.9x),6,8,20,34,❌ WAIT,> ₹303,WATCH
2026-08-31,2026-08,ADANIPORTS,Industrials,Marine Shipping,INDUSTRIAL_CAPEX,High,Cyclical,"₹3,89,715 Cr",1292,1593.1,1891.1,-15.76%,-6.7,-4.72,-6.09,Downtrend,🟠 Volatile,37.5,4.3,1.37,58.57,28.88,416.5,4.06,0.44,"₹1,171",27.11,,,64.05,"50 articles, dominant topic: earnings. Adani Port Share Price - Live NSE: ADANIPORTS Stock Price & Chart - Upstox (mostly earnings-related coverage, no strong signal)",Neutral,"Upstox, simplywall.st, TradingView",✓ Strong REV GROWTH 27.1% | ✓ Oversold RSI (37.5) — good entry,✗ High debt (64.0x) | ✗ Expensive P/B (4.1x) | ✗ Below 200-day MA — long-term trend broken,10,13,10,33,❌ WAIT,"> ₹1,289",WATCH
2026-08-31,2026-08,JKCEMENT,Basic Materials,Building Materials,INDUSTRIAL_CAPEX,High,Cyclical,"₹40,774 Cr",4671.5,5133,7124.5,-27.95%,-0.69,-1.58,-5.71,Strong Downtrend,🟡 Consolidating,30.7,1.85,1.18,122.14,43.2,910.76,5.79,0.38,"₹2,443",16.51,,,87.52,"16 articles, dominant topic: earnings. Should You Be Adding J.K. Cement (NSE:JKCEMENT) To Your Watchlist Today? - simplywall.st (mostly earnings-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, Univest",✓ Strong REV GROWTH 16.5% | ✓ Oversold RSI (30.7) — good entry,✗ High debt (87.5x) | ✗ Expensive PE (43.2x) | ✗ Expensive P/B (5.8x),8,4,10,22,❌ WAIT,"> ₹2,687",WATCH
2026-08-31,2026-08,SIEMENS,Industrials,Specialty Industrial Machinery,INDUSTRIAL_CAPEX,High,Cyclical,"₹1,43,980 Cr",2826,4030,4149.4,-2.88%,-1.44,-2.04,7.18,Strong Uptrend,🟡 Consolidating,51.6,0.49,1.12,47.45,85.21,388.64,10.4,0.45,₹949,16.24,,,2.21,"59 articles, dominant topic: earnings. Siemens Share Price - Upstox (bullish signals: profit rises)",Neutral,"Upstox, TradingView, simplywall.st",✓ Strong REV GROWTH 16.2%,✗ High debt (2.2x) | ✗ Expensive PE (85.2x) | ✗ Expensive P/B (10.4x),9,4,13,26,❌ WAIT,"> ₹1,044",WATCH
2026-08-31,2026-08,HINDZINC,Basic Materials,Other Industrial Metals & Mining,COMMODITY_CYCLICAL,Very High,Cyclical,"₹2,50,392 Cr",418,595.45,733,-18.77%,-4.27,-1.42,10.43,Uptrend,🟠 Volatile,52.3,1.13,1.06,41.01,14.45,53.56,11.07,3.48,₹328,18.62,,,39.03,"49 articles, dominant topic: dividends. Hindustan Zinc Share Price Today, August 24, 2026: Closes at ₹604 - The Eastern Herald (bullish signals: record high; bearish signals: stake sale)",Neutral,"The Eastern Herald, simplywall.st, CNBC TV18",,✗ High debt (39.0x) | ✗ Expensive P/B (11.1x),7,9,13,29,❌ WAIT,> ₹361,WATCH
2026-08-31,2026-08,APARINDS,Industrials,Electrical Equipment & Parts,INDUSTRIAL_CAPEX,High,Cyclical,"₹71,447 Cr",6801,17702,18465,-4.13%,-0.57,5.97,23.38,Strong Uptrend,🟡 Consolidating,58.2,0.51,1.29,294.12,58.01,1342.64,12.71,0.35,"₹5,882",23.35,,,17.72,"25 articles, dominant topic: earnings. Apar Industries Share Price - Live NSE: APARINDS Stock Price & Chart - Upstox (bullish signals: profit rises)",Neutral,"Upstox, simplywall.st, vinanet.vn",✓ Strong REV GROWTH 23.4%,✗ High debt (17.7x) | ✗ Expensive PE (58.0x) | ✗ Expensive P/B (12.7x),10,4,13,27,❌ WAIT,"> ₹6,471",WATCH
2026-08-31,2026-08,SONATSOFTW,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹8,261 Cr",207.15,292.05,421.5,-30.71%,-4.12,-4.79,-9.08,Downtrend,🟠 Volatile,26.3,0.9,1.6,16.87,17.69,68.81,4.34,2.58,₹422,5.34,,,37.96,"13 articles, dominant topic: dividends. Sonata Software Share Price - Live NSE: SONATSOFTW Stock Price & Chart - Upstox (mostly dividends-related coverage, no strong signal)",Neutral,"Upstox, simplywall.st, moneymunch.com",✓ Attractive PE (17.7x) | ✓ Good dividend yield (2.6%) | ✓ Deeply oversold RSI (26.3),✗ Weak REV GROWTH 5.3% | ✗ High debt (38.0x) | ✗ Below 200-day MA — long-term trend broken,2,27,15,44,🔎 INVESTIGATE WHY,< ₹337,HOLD
2026-08-31,2026-08,ETERNAL,Consumer Cyclical,Internet Retail,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹3,04,699 Cr",212.6,328.1,368.45,-10.95%,0.03,0.29,8.48,Strong Uptrend,🟣 Breakout,64.9,7.27,1.41,0.46,719.57,33.83,9.78,,₹9,168.56,,,14.83,"100 articles, dominant topic: earnings. Eternal Shares Decline 2.26% in Early Trade on NSE - Moneycontrol.com (bullish signals: record high; bearish signals: resigns)",Neutral,"Moneycontrol.com, simplywall.st, Business Standard",✓ Strong REV GROWTH 168.6% | ✓ Volume spike 7.3x on uptrend,✗ High debt (14.8x) | ✗ Expensive PE (719.6x) | ✗ Expensive P/B (9.8x),8,3,15,26,❌ WAIT,> ₹10,WATCH
2026-08-31,2026-08,VAIBHAVGBL,Consumer Cyclical,Luxury Goods,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹3,702 Cr",174.13,219.1,293.25,-25.29%,-1.11,-0.18,-17.22,Downtrend,🟡 Consolidating,27.6,0.45,1.68,16.84,13.14,98.66,2.24,2.73,₹337,9.39,,,25.23,"13 articles, dominant topic: dividends. Does Vaibhav Global (NSE:VAIBHAVGBL) Deserve A Spot On Your Watchlist? - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, vinanet.vn, HDFC Sky",✓ Attractive PE (13.1x) | ✓ Attractive P/B (2.2x) | ✓ Good dividend yield (2.7%) | ✓ Deeply oversold RSI (27.6),✗ High debt (25.2x) | ✗ Below 200-day MA — long-term trend broken,3,30,15,48,🔎 INVESTIGATE WHY,< ₹269,HOLD
2026-08-31,2026-08,VGUARD,Industrials,Electrical Equipment & Parts,INDUSTRIAL_CAPEX,High,Cyclical,"₹14,535 Cr",288.8,346.35,392.2,-11.69%,3.93,4.46,10.13,Uptrend,🟡 Consolidating,65.8,1.52,0.67,8.3,40.08,54.33,6.12,0.45,₹166,6.89,,,6.96,"12 articles, dominant topic: dividends. Should You Buy V-Guard Industries Limited (NSE:VGUARD) For Its Upcoming Dividend? - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, Upstox",,✗ Weak REV GROWTH 6.9% | ✗ High debt (7.0x) | ✗ Expensive PE (40.1x),2,4,10,16,❌ WAIT,> ₹183,AVOID
2026-08-31,2026-08,AMRUTANJAN,Healthcare,Drug Manufacturers - Specialty & Generic,QUALITY_GROWTH,Medium,Long-term Growth,"₹1,512 Cr",482.8,509.35,790.95,-35.60%,-0.95,-2.44,-1.1,Strong Downtrend,🟡 Consolidating,41.7,0.41,0.48,18.66,28.04,128.04,4.09,1.44,₹466,11.23,,,0.48,"24 articles, dominant topic: corporate_actions. Individual investors who hold 31% of Amrutanjan Health Care Limited (NSE:AMRUTANJAN) gained 10%, insiders profited as well - simplywall.st (mostly corporate_actions-related coverage, no strong signal)",Neutral,"simplywall.st, Univest, scanx.trade",,✗ Below 200-day MA — long-term trend broken,8,19,5,32,❌ WAIT,₹466 – ₹513,WATCH
2026-08-31,2026-08,INDIGRID,,,DEFAULT,,,"₹13,342 Cr",159.35,174.19,180.9,-3.71%,-0.37,-1.07,-0.06,Uptrend,🔵 Pullback,47.4,0.6,0.13,,22.41,63.75,2.2,,₹155,45.04,,,,"23 articles, dominant topic: acquisitions. Can Indigrid Infrastructure Trust (NSE:INDIGRID) Improve Its Returns? - simplywall.st (mostly acquisitions-related coverage, no strong signal)",Neutral,"simplywall.st, Univest, TradingView",✓ Strong REV GROWTH 45.0%,,10,16,15,41,❌ WAIT,> ₹171,HOLD
2026-08-31,2026-08,FINCABLES,Industrials,Electrical Equipment & Parts,INDUSTRIAL_CAPEX,High,Cyclical,"₹19,673 Cr",700.8,1247.15,1374,-9.23%,-3.91,-3.44,26.28,Strong Uptrend,🟡 Consolidating,54.8,0.53,0.99,52.28,24.61,397.81,3.23,0.62,"₹1,046",18.84,,,0.31,"20 articles, dominant topic: dividends. Analysts Are Betting On Finolex Cables Limited (NSE:FINCABLES) With A Big Upgrade This Week - simplywall.st (bullish signals: upgrade)",Neutral,"simplywall.st, TradingView, vinanet.vn",✓ Strong REV GROWTH 18.8%,✗ Expensive P/B (3.2x),11,13,13,37,❌ WAIT,"> ₹1,150",HOLD
2026-08-31,2026-08,VEDL,Basic Materials,Other Industrial Metals & Mining,COMMODITY_CYCLICAL,Very High,Cyclical,"₹1,07,382 Cr",249.7,278.2,795,-65.01%,-3.39,0.43,5.28,Downtrend,🟢 Tight Base,52.2,1.16,1.21,22.6,12.17,127.16,2.16,12.27,₹181,24.46,,,48.04,"46 articles, dominant topic: corporate_actions. Vedanta Share Price - Live NSE: VEDL Stock Price & Chart - Upstox (mostly corporate_actions-related coverage, no strong signal)",Neutral,"Upstox, simplywall.st, NiftyTrader",✓ Strong REV GROWTH 24.5% | ✓ Good dividend yield (12.3%),✗ High debt (48.0x) | ✗ Below 200-day MA — long-term trend broken,10,14,3,27,❌ WAIT,> ₹199,WATCH
2026-08-31,2026-08,NESTLEIND,Consumer Defensive,Packaged Foods,CONSUMER_STAPLES,Low,Defensive,"₹2,80,493 Cr",1145,1496.5,1553,-3.64%,2.88,1.71,-0.87,Strong Uptrend,🟢 Tight Base,50.9,1.29,0.54,19.72,73.76,26.74,54.39,0.82,₹690,19.58,,,8.62,"41 articles, dominant topic: corporate_actions. NESTLEIND Forecast — Price Target — Prediction for 2027 - TradingView (mostly corporate_actions-related coverage, no strong signal)",Neutral,"TradingView, simplywall.st, vinanet.vn",✓ Strong REV GROWTH 19.6%,✗ Expensive PE (73.8x),8,7,13,28,❌ WAIT,> ₹759,WATCH
2026-08-31,2026-08,JKPAPER,Basic Materials,Paper & Paper Products,COMMODITY_CYCLICAL,Very High,Cyclical,"₹7,190 Cr",304.85,396.25,444.8,-10.92%,1.2,0.75,2.52,Strong Uptrend,🟡 Consolidating,57.3,0.87,0.91,17.46,22.71,304.3,1.3,1.01,₹140,6.1,,,44.54,"11 articles, dominant topic: dividends. Is It Smart To Buy JK Paper Limited (NSE:JKPAPER) Before It Goes Ex-Dividend? - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, Univest, scanx.trade",,✗ High debt (44.5x) | ✗ Expensive PE (22.7x),3,12,13,28,❌ WAIT,> ₹154,WATCH
2026-08-31,2026-08,EXIDEIND,Consumer Cyclical,Auto Parts,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹37,740 Cr",287,440.25,496.4,-11.31%,-0.98,-2.88,-2.12,Strong Uptrend,🟡 Consolidating,23.3,0.75,1.15,10.95,40.55,163.59,2.71,0.45,₹219,4.45,,,11.31,"27 articles, dominant topic: earnings. Exide Industries Limited (NSE:EXIDEIND) Looks Interesting, And It's About To Pay A Dividend - simplywall.st (bullish signals: profit rises)",Neutral,"simplywall.st, TradingView, vinanet.vn",✓ Attractive P/B (2.7x) | ✓ Deeply oversold RSI (23.3),✗ Poor REV GROWTH 4.5% | ✗ High debt (11.3x) | ✗ Expensive PE (40.5x),0,9,25,34,❌ WAIT,> ₹241,WATCH
2026-08-31,2026-08,IDFCFIRSTB,Financial Services,Banks - Regional,FINANCIAL_BANK,Medium,Financial,"₹73,285 Cr",58.08,85.97,88.76,-3.14%,3.43,0.09,1.82,Strong Uptrend,🟡 Consolidating,56.8,1.67,1.25,2.59,32.82,55.11,1.54,0.29,₹83,11.53,,,,"28 articles, dominant topic: earnings. IDFCFIRSTB Forecast — Price Target — Prediction for 2027 - TradingView (mostly earnings-related coverage, no strong signal)",Neutral,"TradingView, simplywall.st, Univest",,,7,10,13,30,❌ WAIT,₹83 – ₹91,WATCH
2026-08-31,2026-08,GEOJITFSL,Financial Services,Capital Markets,FINANCIAL_CAPITAL_MARKETS,High,Market-sensitive,"₹2,251 Cr",50.86,83.32,85.39,-2.42%,-0.45,0.41,9.11,Strong Uptrend,🟡 Consolidating,72.2,1.08,1.21,2.53,31.87,43.03,1.87,1.81,₹51,-9.88,,,9.47,"10 articles, dominant topic: dividends. Insiders were the biggest winners as Geojit Financial Services Limited's (NSE:GEOJITFSL) market cap grew by ₹2.7b last week - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, Upstox",,✗ Poor REV GROWTH -9.9% | ✗ High RSI (72.2),0,13,10,23,❌ WAIT,> ₹56,WATCH
2026-08-31,2026-08,AARTIIND,Basic Materials,Specialty Chemicals,QUALITY_GROWTH,Medium,Long-term Growth,"₹19,547 Cr",338.05,524.4,551.75,-4.96%,-2.95,-3.45,7.22,Strong Uptrend,🟡 Consolidating,58.6,0.45,1.5,14.61,36.89,164.74,3.27,0.19,₹365,13.99,,,83.39,"16 articles, dominant topic: general. AARTIIND Forecast — Price Target — Prediction for 2027 - TradingView (mostly general-related coverage, no strong signal)",Neutral,"TradingView, simplywall.st, Univest",,✗ High debt (83.4x),5,12,13,30,❌ WAIT,> ₹402,WATCH
2026-08-31,2026-08,NATIONALUM,Basic Materials,Aluminum,COMMODITY_CYCLICAL,Very High,Cyclical,"₹73,337 Cr",183.86,381.5,445.15,-14.30%,-3.41,-5.41,9.26,Strong Uptrend,🟡 Consolidating,48.1,1.43,0.59,36.76,10.86,117.65,3.39,1,₹294,6.4,,,0.28,"33 articles, dominant topic: dividends. National Aluminium Company Limited (NSE:NATIONALUM) Looks Like A Good Stock, And It's Going Ex-Dividend Soon - simplywall.st (bullish signals: profit rises, record high)",Bullish (2/10),"simplywall.st, TradingView, vinanet.vn",✓ Very low debt (0.3x) | ✓ Bullish news signal (2/10) — positive momentum,✗ Expensive P/B (3.4x),18,10,16,44,❌ WAIT,> ₹323,HOLD
2026-08-31,2026-08,BAJAJFINSV,Financial Services,Financial Conglomerates,FINANCIAL_NBFC,Medium-High,Financial/Growth,"₹3,20,689 Cr",1597,2021,2195,-7.93%,0.95,0.96,-0.4,Strong Uptrend,🟡 Consolidating,45.8,0.73,1.29,63.25,31.68,487.35,4.11,0.06,₹731,13.63,,,256.4,"25 articles, dominant topic: earnings. Bajaj Finserv Ltd. Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions - simplywall.st (bearish signals: downgrade)",Neutral,"simplywall.st, TradingView, Univest",,✗ Expensive P/B (4.1x),4,3,15,22,❌ WAIT,> ₹804,WATCH
2026-08-31,2026-08,MOTHERSON,Consumer Cyclical,Auto Parts,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹1,75,292 Cr",91.1,170.68,173.27,-1.49%,3.07,0.99,13.22,Strong Uptrend,🟡 Consolidating,54,0.98,1.57,4.16,40.01,38.91,4.28,0.3,₹83,11.09,,,43.91,"70 articles, dominant topic: dividends. MOTHERSON Share Price Today - Samvardhana Motherson International on NSE/BSE - scanx.trade (bullish signals: outperform, profit rises, record high)",Bullish (5/10),"scanx.trade, simplywall.st, TradingView",✓ Strong REV GROWTH 11.1% | ✓ Bullish news signal (5/10) — positive momentum,✗ High debt (43.9x) | ✗ Expensive PE (40.0x),6,6,15,27,❌ WAIT,> ₹92,WATCH
2026-08-31,2026-08,APLAPOLLO,Basic Materials,Steel,COMMODITY_CYCLICAL,Very High,Cyclical,"₹59,946 Cr",1578,2223.4,2301.4,-3.39%,-1.86,3.66,22.2,Uptrend,🟡 Consolidating,80.7,1.75,1.16,44.28,48.76,190.73,11.32,0.39,₹354,11.95,,,9.4,"22 articles, dominant topic: dividends. APLAPOLLO Forecast — Price Target — Prediction for 2027 - TradingView (bullish signals: upgrade)",Neutral,"TradingView, simplywall.st, Univest",,✗ High debt (9.4x) | ✗ Expensive PE (48.8x) | ✗ Expensive P/B (11.3x),7,3,10,20,❌ WAIT,> ₹390,WATCH
2026-08-31,2026-08,TARSONS,Healthcare,Medical Instruments & Supplies,QUALITY_GROWTH,Medium,Long-term Growth,"₹1,838 Cr",164.45,331.65,375,-11.56%,-0.18,-4.38,5.42,Strong Uptrend,🟡 Consolidating,63,0.08,1.21,2.07,166.91,119.92,2.88,,₹52,7.67,,,61.91,"35 articles, dominant topic: earnings. Is Tarsons Products (NSE:TARSONS) A Risky Investment? - simplywall.st (mostly earnings-related coverage, no strong signal)",Neutral,"simplywall.st, Moneycontrol.com, TradingView",✓ Attractive P/B (2.9x),✗ Weak REV GROWTH 7.7% | ✗ High debt (61.9x) | ✗ Expensive PE (166.9x),2,12,10,24,❌ WAIT,> ₹57,WATCH
2026-08-31,2026-08,INDIGOPNTS,Basic Materials,Specialty Chemicals,QUALITY_GROWTH,Medium,Long-term Growth,"₹5,422 Cr",708.05,1152.9,1345.9,-14.34%,0.1,0.91,3.7,Strong Uptrend,🟡 Consolidating,57,0.22,1.24,33.86,33.55,242.13,4.69,0.44,₹846,4.82,,,1.83,"31 articles, dominant topic: dividends. Why You Might Be Interested In Indigo Paints Limited (NSE:INDIGOPNTS) For Its Upcoming Dividend - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, Upstox, TradingView",,✗ Poor REV GROWTH 4.8% | ✗ High debt (1.8x),0,17,13,30,❌ WAIT,> ₹931,WATCH
2026-08-31,2026-08,PAGEIND,Consumer Cyclical,Apparel Manufacturing,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹39,596 Cr",29805,35800,46890,-23.65%,-0.51,0.67,-10.84,Downtrend,🟡 Consolidating,31.2,0.84,0.69,677.67,52.39,1347.15,26.35,2.25,"₹13,553",6.4,,,18.42,"28 articles, dominant topic: dividends. Page Industries Share Price - Live NSE: PAGEIND Stock Price & Chart - Upstox (mostly dividends-related coverage, no strong signal)",Neutral,"Upstox, simplywall.st, TradingView",✓ Good dividend yield (2.2%) | ✓ Oversold RSI (31.2) — good entry,✗ High debt (18.4x) | ✗ Expensive PE (52.4x) | ✗ Expensive P/B (26.4x),3,8,10,21,❌ WAIT,"> ₹14,909",WATCH
2026-08-31,2026-08,IRCTC,Consumer Cyclical,Travel Services,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹38,604 Cr",481,481.25,739,-34.88%,-0.91,-0.39,-1.75,Strong Downtrend,🟡 Consolidating,20.4,0.69,1.08,17.39,27.75,53.86,8.96,1.97,₹348,11.55,,,1.87,"100 articles, dominant topic: earnings. IRCTC fined ₹5.31 lakh each by BSE and NSE for board non-compliance - scanx.trade (bullish signals: profit rises; bearish signals: stake sale)",Neutral,"scanx.trade, TradingView, Upstox",✓ Strong REV GROWTH 11.6% | ✓ Good dividend yield (2.0%) | ✓ Deeply oversold RSI (20.4),✗ High debt (1.9x) | ✗ Expensive P/B (9.0x) | ✗ Below 200-day MA — long-term trend broken,6,18,15,39,❌ WAIT,> ₹383,HOLD
2026-08-31,2026-08,INDHOTEL,Consumer Cyclical,Lodging,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹1,04,300 Cr",565,737.9,792.55,-6.90%,4.46,1.23,-0.09,Strong Uptrend,🟣 Breakout,58.2,3.26,1.36,15.04,47.94,91.7,7.86,0.45,₹301,15.74,,,18.99,"27 articles, dominant topic: dividends. Indian Hotels Co Ltd (INDHOTEL) Share Price - Business Today (mostly dividends-related coverage, no strong signal)",Neutral,"Business Today, simplywall.st, TradingView",✓ Strong REV GROWTH 15.7% | ✓ Volume spike 3.3x on uptrend,✗ High debt (19.0x) | ✗ Expensive PE (47.9x) | ✗ Expensive P/B (7.9x),8,3,18,29,❌ WAIT,> ₹331,WATCH
2026-08-31,2026-08,NCC,Industrials,Engineering & Construction,INDUSTRIAL_CAPEX,High,Cyclical,"₹9,242 Cr",130,148.37,222.31,-33.26%,-0.02,0.69,6.79,Downtrend,🟡 Consolidating,60.8,0.53,1.32,11.23,13.11,125.33,1.17,1.49,₹225,-5.6,,,57.39,"51 articles, dominant topic: earnings. Where Will NCC Share Price be in the Next 3 Years? - Equitymaster (bullish signals: order win, profit rises)",Bullish (2/10),"Equitymaster, Moneycontrol.com, simplywall.st",✓ Attractive PE (13.1x) | ✓ Attractive P/B (1.2x) | ✓ Bullish news signal (2/10) — positive momentum,✗ Poor REV GROWTH -5.6% | ✗ High debt (57.4x) | ✗ Below 200-day MA — long-term trend broken,0,28,1,29,🔎 INVESTIGATE WHY,< ₹180,WATCH
2026-08-31,2026-08,SAIL,Basic Materials,Steel,COMMODITY_CYCLICAL,Very High,Cyclical,"₹80,504 Cr",118.1,195,209.7,-7.01%,-2.5,8.54,15.36,Strong Uptrend,🟡 Consolidating,69.6,0.87,0.94,10.36,18.81,146,1.33,1.21,₹83,8.13,,,52.9,"82 articles, dominant topic: earnings. SAIL Share Price - Upstox (bearish signals: downgrade, profit falls)",Bearish (2/10),"Upstox, TradingView, simplywall.st",,✗ High debt (52.9x) | ✗ Expensive PE (18.8x) | ✗ Bearish news signal (2/10) — negative momentum,3,12,9,24,❌ WAIT,> ₹91,WATCH
2026-08-31,2026-08,CASTROLIND,Energy,Oil & Gas Refining & Marketing,COMMODITY_CYCLICAL,Very High,Cyclical,"₹18,485 Cr",170.1,184.49,210.75,-12.46%,-0.4,-1.27,2.94,Strong Uptrend,🟡 Consolidating,39.1,0.65,0.32,10.73,17.42,19.27,9.7,6.69,₹86,6.63,57,24.88,2.78,"23 articles, dominant topic: dividends. Castrol India Share Price - Live NSE: CASTROLIND Stock Price & Chart - Upstox (mostly dividends-related coverage, no strong signal)",Neutral,"Upstox, simplywall.st, TradingView",✓ Strong ROE 57.0% | ✓ Good dividend yield (6.7%) | ✓ Oversold RSI (39.1) — good entry,✗ High debt (2.8x) | ✗ Expensive P/B (9.7x),18,11,20,49,❌ WAIT,> ₹94,HOLD
2026-08-31,2026-08,HDFCAMC,Financial Services,Asset Management,FINANCIAL_CAPITAL_MARKETS,High,Market-sensitive,"₹1,15,693 Cr",2205.6,2622.1,2967.25,-11.63%,2.07,0.16,0.24,Strong Uptrend,🟡 Consolidating,61.3,0.99,1.52,68.38,39.46,215.42,12.52,2.06,"₹1,368",17.83,,,2.36,"40 articles, dominant topic: earnings. HDFC AMC Share Price - Live NSE: HDFCAMC Stock Price & Chart - Upstox (bullish signals: profit rises; bearish signals: profit falls)",Bullish (3/10),"Upstox, simplywall.st, TradingView",✓ Good dividend yield (2.1%) | ✓ Bullish news signal (3/10) — positive momentum,,5,18,12,35,❌ WAIT,"> ₹1,504",HOLD
2026-08-31,2026-08,SFL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹7,061 Cr",456.8,641.75,832.45,-22.91%,0.75,-2.19,-18.12,Uptrend,🟡 Consolidating,33.3,0.43,1.07,19.62,32.95,297.8,2.17,0.15,₹392,11.34,,,27.85,"22 articles, dominant topic: earnings. SFL Forecast — Price Target — Prediction for 2027 - TradingView (mostly earnings-related coverage, no strong signal)",Neutral,"TradingView, simplywall.st, scanx.trade",✓ Strong REV GROWTH 11.3% | ✓ Attractive P/B (2.2x) | ✓ Oversold RSI (33.3) — good entry,✗ High debt (27.9x),6,13,20,39,❌ WAIT,> ₹432,HOLD
2026-08-31,2026-08,GESHIP,Industrials,Marine Shipping,INDUSTRIAL_CAPEX,High,Cyclical,"₹19,020 Cr",922.5,1301.8,1798,-27.60%,-2.82,-2.34,-2.56,Downtrend,🟡 Consolidating,51.9,1.01,0.6,261.94,5.09,1188.12,1.12,4.32,"₹5,239",1.87,,,6.41,"33 articles, dominant topic: dividends. Great Eastern Shipping's (NSE:GESHIP) Solid Profits Have Weak Fundamentals - simplywall.st (bullish signals: upgrade)",Neutral,"simplywall.st, vinanet.vn, Univest",✓ Attractive PE (5.1x) | ✓ Attractive P/B (1.1x) | ✓ Good dividend yield (4.3%),✗ Poor REV GROWTH 1.9% | ✗ High debt (6.4x) | ✗ Below 200-day MA — long-term trend broken,0,30,3,33,🔎 INVESTIGATE WHY,"< ₹4,191",WATCH
